Képkocka #	Fájl	Kontraszt	Mozgás	Képkivágás
001	frame_0001.jpg	0.17	KÖ
002	frame_0002.jpg	0.18	Magas	KÖ
003	frame_0003.jpg	0.20	Magas	KÖ
004	frame_0004.jpg	0.31	Magas	KÖ
005	frame_0005.jpg	0.30	Magas	KÖ
006	frame_0006.jpg	0.31	Magas	KÖ
007	frame_0007.jpg	0.32	Magas	KÖ
008	frame_0008.jpg	0.32	Közepes	KÖ
009	frame_0009.jpg	0.31	Közepes	KÖ
010	frame_0010.jpg	0.30	Közepes	KÖ
011	frame_0011.jpg	0.29	Magas	KÖ
012	frame_0012.jpg	0.36	Magas	KÖ
013	frame_0013.jpg	0.36	Magas	KÖ
014	frame_0014.jpg	0.36	Közepes	KÖ
015	frame_0015.jpg	0.37	Magas	KÖ
016	frame_0016.jpg	0.38	Magas	KÖ
017	frame_0017.jpg	0.37	Közepes	KÖ
018	frame_0018.jpg	0.37	Közepes	KÖ
019	frame_0019.jpg	0.30	Magas	KÖ
020	frame_0020.jpg	0.30	Magas	KÖ
021	frame_0021.jpg	0.30	Magas	KÖ
